"","Num","Year","Cruise_ID","Leg","Cast","lon","lat","Mon","Day","Date","Time","sample","depth","fluor_vol_filt","chl_a_tot","chl_b_tot","chl_c3","chl_c1_c2","chl_c1","chl_c2","chlc_tot","chlide_a","chl_a1","chl_a2","carotene_a","carotene_b","fucox_but","fucox_hex","allox","diadinox","fucox","diatox","peridinin","zeax","lutein","neox","antherax","violax","p_phytin_a","prasinox","gyrox","chl_a_allo","chl_a_prime","chl_a_fluor","chl_a_pheo_fluor"
"38",38,"1999","93HG_043","1","4","-64.67","10.5","6","8","19990608","0542","11B","75","2000","0.3138","0.0806","-9999","0.0715","","","0.0589","-9999","","","-9999","0.0099","-9999","0.0553","0.0072","-9999","0.0179","0.0037","0.1304","0.0098","-9999","-9999","","-9999","",0.0912,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"39",39,"1999","93HG_043","1","4","-64.67","10.5","6","8","19990608","0542","12","100","2000","0.0086","-9999","0.0079","0.0041","","","0.0119","-9999","","","-9999","-9999","0.0022","0.0049","-9999","-9999","0.0072","-9999","-9999","0.0031","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"40",40,"1999","93HG_044","1","4","-64.67","10.5","7","15","19990715","0546","1","2","2000","0.2803","-9999","0.0386","0.0773","","","0.1159","-9999","","","-9999","0.0083","-9999","0.0376","-9999","0.0106","0.0784","-9999","-9999","0.0634","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"41",41,"1999","93HG_044","1","4","-64.67","10.5","7","15","19990715","0546","3","7","2000","0.2425","-9999","-9999","0.0706","","","0.0706","0.0742","","","-9999","0.008","-9999","0.0315","-9999","0.0099","0.0712","-9999","-9999","0.0553","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"42",42,"1999","93HG_044","1","4","-64.67","10.5","7","15","19990715","0546","5","16","2000","0.0382","-9999","0.02","0.0118","","","0.0318","-9999","","","-9999","-9999","-9999","0.0148","-9999","-9999","0.0192","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"43",43,"1999","93HG_044","1","4","-64.67","10.5","7","15","19990715","0546","7","25","2000","0.0689","-9999","0.0145","0.004","","","0.0186","-9999","","","-9999","-9999","0.0195","0.0249","-9999","-9999","0.0059","-9999","-9999","0.0474","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"44",44,"1999","93HG_044","1","4","-64.67","10.5","7","15","19990715","0546","9","35","2000","0.9973","0.0824","0.4122","0.3717","","","0.7839","-9999","","","-9999","0.0097","0.0592","0.2707","-9999","0.0735","0.7891","-9999","-9999","0.0245","-9999","0.0171","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"45",45,"1999","93HG_044","1","4","-64.67","10.5","7","15","19990715","0546","10","55","2000","0.535","0.068","0.1827","0.1314","","","0.3141","-9999","","","-9999","0.0101","0.0413","0.1415","0.0104","0.0187","0.2354","-9999","-9999","0.012","-9999","0.0066","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"46",46,"1999","93HG_044","1","4","-64.67","10.5","7","15","19990715","0546","11","75","2000","0.027","-9999","0.0242","0.0144","","","0.0386","-9999","","","-9999","-9999","0.0045","0.0164","-9999","-9999","0.0201","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
"47",47,"1999","93HG_044","1","4","-64.67","10.5","7","15","19990715","0546","12","100","2000","0.0069","-9999","-9999","-9999","","","-9999","-9999","","","-9999","-9999","-9999","0.0039","-9999","-9999","0.0055","-9999","-9999","-9999","-9999","-9999","","-9999","",-9999,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36,9.96920996838687e+36
