"","Cruise_ID","Leg","lon","lat","Date","Day","days","Month","Year","Depth_target","Depth_real","O2_ml_L","O2_ml_L_Q","O2_umol_kg","O2_umol_kg_Q","SiOH4_Cumana","SiOH4_Cumana_Q","PO4_Cumana","PO4_Cumana_Q","NO3_Cumana","NO3_Cumana_Q","NH4","NH4_Q","NO2","NO2_Q","NO3_NO2","NO3_NO2_Q","PO4","PO4_Q","SiOH4","SiOH4_Q","pH","pH_Q","Alkalinity","Alkalinity_Q","TCO2","TCO2_Q","fCO2","fCO2_Q","sal_bot","sal_bot_Q","sal_bot_corr","sal_bot_corr_Q","sal_ctd","sal_ctd_Q","Temp","Temp_Q","Sigma_t","Sigma_t_Q","TPP","TPP_Q","PIP","PIP_Q","POC_ug_L","POC_ug_L_Q","PON_ug_L","PON_ug_L_Q","CtoN_part","CtoN_part_Q","POC_ug_kg","POC_ug_kg_Q","PON_ug_kg","PON_ug_kg_Q","DON_USF_uM","DON_USF_uM_Q","DOP_USF_uM","DOP_USF_uM_Q","DOC","DOC_Q","TOC","TOC_Q","PriPro","PriPro_Q","Chl","Chl_Q","Phaeo","Phaeo_Q"
"33","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,350,347,"0.00",0,"0.00",0,48.16,1,2.77,1,0.32,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002416",0,NA,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,NA,9,NA,9,NA,9,0,0,NA,9
"34","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,400,395,"0.00",0,"0.00",0,55.9,1,2.83,1,0.27,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002417",0,NA,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,NA,9,NA,9,NA,9,0,0,NA,9
"35","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,500,494,"0.00",0,"0.00",0,64.5,1,3.06,1,0.45,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002448",0,NA,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,NA,9,NA,9,NA,9,0,0,NA,9
"36","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,750,744,"0.00",0,"0.00",0,82.56,1,3.38,1,0.4,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002456",0,NA,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,NA,9,NA,9,NA,9,0,0,NA,9
"37","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,1000,992,"0.00",0,"0.00",0,87.72,1,3.51,1,0.32,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,NA,9,NA,9,NA,9,0,0,NA,9
"38","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,1200,1202,"0.00",0,"0.00",0,86.86,1,3.62,1,0.36,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002467",0,NA,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,NA,9,NA,9,NA,9,0,0,NA,9
"39","93HG_003",1,-64.67,10.5,1996-01-12,12,11,1,1996,1,1.5,NA,0,NA,0,1.08,1,0.09,1,4.57,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002428",0,NA,0,NA,0,36.922,0,NA,9,NA,9,24.48,0,24.955,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,109,8,NA,9,"16.25",0,1.4,0,0.69,0
"40","93HG_003",1,-64.67,10.5,1996-01-12,12,11,1,1996,7,9,NA,0,NA,0,2.75,1,0.11,1,1.95,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002426",0,NA,0,NA,0,36.92,0,NA,9,NA,9,24.02,0,25.09,0,NA,9,NA,9,"112.30",1,"14.51",1,NA,1,"109.59",1,"14.16",1,NA,9,NA,9,106,8,NA,9,"11.79",0,1.37,0,0.66,0
"41","93HG_003",1,-64.67,10.5,1996-01-12,12,11,1,1996,15,16,NA,0,"186.8",0,3,1,0.1,1,2.29,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002430",0,NA,0,NA,0,36.952,8,NA,9,NA,9,23.84,0,25.15,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,78,1,NA,9,NA,0,1.33,0,0.64,0
"42","93HG_003",1,-64.67,10.5,1996-01-12,12,11,1,1996,25,26.5,NA,0,"171.6",0,3.42,1,0.15,1,2.46,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002430",0,NA,0,NA,0,36.925,0,NA,9,NA,9,23.74,0,25.18,0,NA,9,NA,9,NA,1,"14.64",1,NA,1,NA,1,"14.29",1,NA,9,NA,9,74,1,NA,9,"0.83",0,1.74,0,0.81,0
"43","93HG_003",1,-64.67,10.5,1996-01-12,12,11,1,1996,35,36,NA,0,"128.8",0,5.42,1,0.23,1,3.26,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002409",0,NA,0,NA,0,36.893,0,NA,9,NA,9,23.42,0,25.25,0,NA,9,NA,9,NA,1,"15.78",1,NA,1,NA,1,"15.40",1,NA,9,NA,9,75,1,NA,9,"0.07",0,0.5,0,0.46,0
"44","93HG_003",1,-64.67,10.5,1996-01-12,12,11,1,1996,55,55,NA,0,"137.3",0,5.42,1,0.32,1,9.77,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002418",0,NA,0,NA,0,36.887,0,NA,9,NA,9,22.38,0,25.55,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,100,8,NA,9,"0.02",0,0.1,0,0.16,0
"45","93HG_003",1,-64.67,10.5,1996-01-12,12,11,1,1996,75,72.5,NA,0,"130.8",0,5.75,1,0.45,1,11.46,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002406",0,NA,0,NA,0,36.856,0,NA,9,NA,9,21.61,0,25.74,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,70,1,NA,9,"0.11",0,0.05,0,0.06,0
"46","93HG_003",1,-64.67,10.5,1996-01-12,12,11,1,1996,100,95.5,NA,0,"127.8",0,6.33,1,0.52,1,12.7,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002406",0,NA,0,NA,0,36.828,0,NA,9,NA,9,21.17,0,25.84,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,69,1,NA,9,"0.02",0,0.04,0,0.06,0
"47","93HG_003",1,-64.67,10.5,1996-01-12,12,11,1,1996,130,120,NA,0,"119.6",0,7.17,1,0.66,1,15.47,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002412",0,NA,0,NA,0,36.745,0,NA,9,NA,0,20.51,0,25.95,0,NA,9,NA,9,"16.61",1,NA,1,NA,1,"16.20",1,NA,1,NA,9,NA,9,62,1,NA,9,NA,9,0.01,0,NA,9
"48","93HG_003",1,-64.67,10.5,1996-01-12,12,11,1,1996,160,144,NA,0,"104.1",0,9.83,1,0.8,1,18.42,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002432",0,NA,0,NA,0,36.663,0,NA,9,NA,0,19.63,0,26.1,0,NA,9,NA,9,"17.15",1,NA,1,NA,1,"16.73",1,NA,1,NA,9,NA,9,64,1,NA,9,NA,9,0.01,0,NA,9
"49","93HG_003",1,-64.67,10.5,1996-01-12,12,11,1,1996,200,179,"0.94",0,NA,0,18.42,1,1.38,1,20.78,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002410",0,NA,0,NA,0,36.49,0,NA,9,NA,0,18.54,0,26.26,0,NA,9,NA,9,"12.77",1,NA,1,NA,1,"12.46",1,NA,1,NA,9,NA,9,64,1,NA,9,NA,9,0.02,0,NA,9
"50","93HG_003",1,-64.67,10.5,1996-01-12,12,11,1,1996,250,225,"0.10",0,NA,0,31.33,1,1.54,1,7.04,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002398",0,NA,0,NA,0,36.415,0,NA,9,NA,0,17.98,0,26.355,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,58,1,NA,9,NA,9,NA,9,NA,9
"51","93HG_003",1,-64.67,10.5,1996-01-12,12,11,1,1996,300,270,"0.00",0,"0.00",0,38.67,1,2.45,1,1.79,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002419",0,NA,0,NA,0,36.39,0,NA,9,NA,0,17.8,0,26.38,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,76,1,NA,9,NA,9,NA,9,NA,9
