Cruise,Leg,Day,Month,Year,Depth_target,Depth_real,O2_ml_L,O2_umol_kg,SiOH4_Cumana,  PO4_Cumana,NO3_Cumana,NH4 ,NO2 ,NO3NO2 ,PO4,SiOH4,pH,Alkalinity,TCO2,fCO2,Salinity_bott,Salinity_bottcorr,Salinity_ctd,Temp_ctd,Sigma-t_ctd,TPP,PIP,POC,PN,C/N part.,POC,PN,DON_USF,DOP_USF,DOC,TOC,PriPro,Chl,Phaeo,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004,1,13,02,1996,1,1.5,4.77,207.76,1.80,0.04,0.85,-9999,-9999,-9999,-9999,-9999,8.0690,0.002448,2104.6,374.0,36.913,-9999,-9999,24.050,25.0770,-9999,-9999,384.04,44.88,9.98,374.78,43.80,-9999,-9999,74,-9999,12.66,0.68,0.41,,
004,1,13,02,1996,7,7.5,4.54,197.92,2.11,0.03,0.91,-9999,-9999,-9999,-9999,-9999,8.1179,0.002447,2070.6,318.3,36.918,-9999,-9999,23.580,25.2200,-9999,-9999,379.71,47.30,9.37,370.56,46.16,-9999,-9999,79,-9999,6.91,0.96,0.63,,
004,1,13,02,1996,15,15.0,4.52,196.92,2.11,0.04,0.98,-9999,-9999,-9999,-9999,-9999,8.0614,0.002426,2089.3,368.2,36.920,-9999,-9999,23.360,25.2850,-9999,-9999,419.93,60.61,8.08,409.81,59.15,-9999,-9999,73,-9999,2.47,0.70,0.46,,
004,1,13,02,1996,25,25.5,3.53,153.73,3.96,0.15,2.94,-9999,-9999,-9999,-9999,-9999,7.9865,-9999,-9999,-9999,36.910,-9999,-9999,23.000,25.3830,-9999,-9999,177.99,40.04,5.19,173.70,39.07,-9999,-9999,73,-9999,0.51,1.17,0.82,,
004,1,13,02,1996,35,35.5,2.90,126.24,4.43,0.34,7.72,-9999,-9999,-9999,-9999,-9999,7.9491,-9999,-9999,-9999,36.906,-9999,-9999,22.500,25.5240,-9999,-9999,29.82,5.90,5.90,29.10,5.75,-9999,-9999,66,-9999,0.00,0.24,0.27,,
004,1,13,02,1996,55,55.0,2.92,127.22,4.54,0.35,8.51,-9999,-9999,-9999,-9999,-9999,7.9487,0.002421,2152.7,485.1,36.898,-9999,-9999,22.370,25.5600,-9999,-9999,25.81,5.36,5.62,25.19,5.23,-9999,-9999,73,-9999,0.03,0.12,0.18,,
004,1,13,02,1996,75,75.5,3.01,131.12,4.43,0.44,9.23,-9999,-9999,-9999,-9999,-9999,7.9046,0.002403,2160.7,528.7,36.860,-9999,-9999,21.670,25.7300,-9999,-9999,20.56,4.89,4.91,20.06,4.77,-9999,-9999,69,-9999,0.31,0.05,0.08,,
004,1,13,02,1996,100,99.5,2.85,124.23,5.17,0.63,11.06,-9999,-9999,-9999,-9999,-9999,7.9039,-9999,-9999,-9999,36.786,-9999,-9999,20.800,25.9100,-9999,-9999,15.69,3.61,5.07,15.31,3.52,-9999,-9999,68,-9999,0.00,0.03,0.05,,
004,1,13,02,1996,130,130.0,2.25,97.74,8.65,0.77,14.54,-9999,-9999,-9999,-9999,-9999,7.8758,0.002422,2194.4,538.7,36.656,-9999,36.722,19.950,26.0890,-9999,-9999,18.87,4.35,5.06,18.41,4.25,-9999,-9999,69,-9999,-9999,-9999,-9999,,
004,1,13,02,1996,160,160.0,1.86,81.06,12.87,1.00,16.57,-9999,-9999,-9999,-9999,-9999,7.8291,0.002419,2215.8,586.6,36.568,-9999,36.569,18.940,26.2360,-9999,-9999,21.34,4.62,5.39,20.82,4.51,-9999,-9999,62,-9999,-9999,-9999,-9999,,
004,1,13,02,1996,200,200.0,0.39,16.84,21.95,1.49,15.27,-9999,-9999,-9999,-9999,-9999,7.8155,-9999,-9999,-9999,36.454,-9999,36.429,18.090,26.3460,-9999,-9999,27.37,5.23,6.11,26.71,5.10,-9999,-9999,61,-9999,-9999,-9999,-9999,,
004,1,13,02,1996,250,249.5,0.05,2.13,33.02,2.40,1.08,-9999,-9999,-9999,-9999,-9999,7.6696,-9999,-9999,-9999,36.395,-9999,36.392,17.870,26.3700,-9999,-9999,28.59,6.03,5.53,27.90,5.88,-9999,-9999,67,-9999,-9999,-9999,-9999,,
004,1,13,02,1996,300,298.5,0.00,0.00,41.36,2.56,0.69,-9999,-9999,-9999,-9999,-9999,7.6505,0.002429,2303.8,901.8,36.366,-9999,36.363,17.710,26.4000,-9999,-9999,27.84,6.30,5.15,27.16,6.15,-9999,-9999,61,-9999,-9999,-9999,-9999,,
004,1,13,02,1996,350,349.5,0.00,0.00,57.39,2.78,0.69,-9999,-9999,-9999,-9999,-9999,7.6603,0.002417,2287.8,-9999,36.338,-9999,-9999,-9999,-9999,-9999,-9999,33.00,6.64,5.80,32.20,6.48,-9999,-9999,62,-9999,-9999,-9999,-9999,,
004,1,13,02,1996,400,398.0,0.00,0.00,61.61,2.88,0.68,-9999,-9999,-9999,-9999,-9999,7.6200,0.002436,2322.3,-9999,36.311,-9999,-9999,-9999,-9999,-9999,-9999,28.97,6.03,5.60,28.27,5.88,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,
004,1,13,02,1996,500,497.0,-9999,-9999,73.43,3.15,0.66,-9999,-9999,-9999,-9999,-9999,7.6319,0.002456,2336.8,-9999,36.271,-9999,-9999,-9999,-9999,-9999,-9999,30.36,6.03,5.87,29.62,5.88,-9999,-9999,64,-9999,-9999,-9999,-9999,,
004,1,13,02,1996,750,745.0,-9999,-9999,81.87,3.35,0.65,-9999,-9999,-9999,-9999,-9999,7.5177,0.002461,-9999,-9999,36.236,-9999,-9999,-9999,-9999,-9999,-9999,31.37,6.37,5.75,30.61,6.21,-9999,-9999,60,-9999,-9999,-9999,-9999,,
004,1,13,02,1996,1000,988.0,-9999,-9999,89.46,3.43,0.66,-9999,-9999,-9999,-9999,-9999,7.5883,-9999,-9999,-9999,36.226,-9999,-9999,-9999,-9999,-9999,-9999,27.84,5.49,5.92,27.16,5.36,-9999,-9999,60,-9999,-9999,-9999,-9999,,
004,1,13,02,1996,1200,1190.0,-9999,-9999,88.62,3.57,0.60,-9999,-9999,-9999,-9999,-9999,7.5923,0.002455,2351.0,-9999,36.221,-9999,-9999,-9999,-9999,-9999,-9999,24.54,5.29,5.41,23.95,5.16,-9999,-9999,56,-9999,-9999,-9999,-9999,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005,1,13,03,1996,1,1.5,5.60,244.01,2.62,0.03,0.44,-9999,-9999,-9999,-9999,-9999,-9999,0.002441,-9999,-9999,36.862,36.868,36.871,22.869,25.3914,-9999,-9999,753.38,74.29,11.83,735.22,72.50,-9999,-9999,-9999,-9999,16.74,3.21,1.16,,
005,1,13,03,1996,7,7.0,5.48,238.64,2.86,0.02,0.48,-9999,-9999,-9999,-9999,-9999,-9999,0.002415,-9999,-9999,36.870,36.876,36.861,22.626,25.4539,-9999,-9999,627.77,63.10,11.61,612.64,61.58,-9999,-9999,-9999,-9999,14.03,2.80,1.53,,
005,1,13,03,1996,15,15.0,4.51,196.27,3.09,0.05,0.73,-9999,-9999,-9999,-9999,-9999,-9999,0.002438,-9999,-9999,36.870,36.876,36.867,22.095,25.6101,-9999,-9999,451.73,78.16,6.74,440.84,76.28,-9999,-9999,-9999,-9999,1.15,2.73,1.38,,
005,1,13,03,1996,25,25.5,3.99,173.64,3.93,0.12,2.42,-9999,-9999,-9999,-9999,-9999,-9999,0.002417,-9999,-9999,36.875,36.881,36.863,21.988,25.6377,-9999,-9999,362.82,67.63,6.26,354.07,66.00,-9999,-9999,-9999,-9999,0.01,0.52,0.37,,
005,1,13,03,1996,35,35.0,3.05,132.99,4.64,0.37,6.43,-9999,-9999,-9999,-9999,-9999,-9999,0.002398,-9999,-9999,36.874,36.880,36.867,21.427,25.7980,-9999,-9999,65.15,13.17,5.77,63.58,12.85,-9999,-9999,-9999,-9999,0.00,0.12,0.17,,
005,1,13,03,1996,55,56.0,3.07,133.71,5.59,0.38,8.09,-9999,-9999,-9999,-9999,-9999,-9999,0.002395,-9999,-9999,36.812,36.818,36.820,20.910,25.9044,-9999,-9999,25.10,5.44,5.38,24.49,5.31,-9999,-9999,-9999,-9999,0.00,0.06,0.10,,
005,1,13,03,1996,75,76.0,2.70,117.64,6.78,0.53,10.42,-9999,-9999,-9999,-9999,-9999,-9999,0.002398,-9999,-9999,36.728,36.734,36.737,20.355,25.9921,-9999,-9999,25.60,5.04,5.92,24.98,4.92,-9999,-9999,-9999,-9999,0.04,0.05,0.08,,
005,1,13,03,1996,100,101.5,2.80,121.77,6.55,0.52,9.85,-9999,-9999,-9999,-9999,-9999,-9999,0.002400,-9999,-9999,36.688,36.694,36.699,19.943,26.0737,-9999,-9999,22.03,4.58,5.62,21.50,4.46,-9999,-9999,-9999,-9999,0.00,0.06,0.08,,
