"","Date","val","spec"
"533",2000-02-08,6.13,"Hapto6"
"534",2000-03-09,2.58,"Hapto6"
"535",2000-04-11,2.05,"Hapto6"
"536",2000-05-11,4.66,"Hapto6"
"537",2000-06-06,4.35,"Hapto6"
"538",2000-07-07,1.38,"Hapto6"
"539",2000-08-09,3.5,"Hapto6"
"540",2000-09-12,4.55,"Hapto6"
"541",2000-10-10,3.28,"Hapto6"
"542",2006-07-04,2.32,"Hapto6"
"543",2006-08-03,5.7,"Hapto6"
"544",2006-09-12,5.84,"Hapto6"
"545",2006-10-10,7.04,"Hapto6"
"546",2006-11-02,5.63,"Hapto6"
"547",2006-12-05,7.45,"Hapto6"
"548",2007-02-06,4.69,"Hapto6"
"549",2007-03-06,7.81,"Hapto6"
"550",2007-04-10,8.07,"Hapto6"
"551",2007-05-08,8.58,"Hapto6"
"552",2007-06-05,4.23,"Hapto6"
"553",2007-07-03,3.52,"Hapto6"
"554",2007-08-07,9.26,"Hapto6"
"555",2007-09-04,4.65,"Hapto6"
"556",2007-10-19,13.85,"Hapto6"
"557",2007-12-11,11.9,"Hapto6"
"558",2008-01-10,2.42,"Hapto6"
"559",2008-02-12,14.79,"Hapto6"
"560",2008-03-11,6.52,"Hapto6"
"561",2008-04-08,6.32,"Hapto6"
"562",2008-05-04,7.55,"Hapto6"
"563",2008-06-03,11.34,"Hapto6"
"564",2008-07-08,8.44,"Hapto6"
"565",2008-08-05,15.45,"Hapto6"
"566",2008-09-10,3.75,"Hapto6"
"567",2008-10-10,6.42,"Hapto6"
"568",2008-11-18,5.12,"Hapto6"
"569",2008-12-10,3.91,"Hapto6"
"570",2009-01-13,5.73,"Hapto6"
"571",2009-02-10,3.38,"Hapto6"
"572",2009-03-03,5.5,"Hapto6"
"573",2009-04-07,7.33,"Hapto6"
"574",2009-05-08,9.87,"Hapto6"
"575",2009-06-02,10.53,"Hapto6"
"576",2009-07-14,3.69,"Hapto6"
"577",2009-08-11,12.05,"Hapto6"
"578",2009-09-15,9.41,"Hapto6"
"579",2009-10-07,10.55,"Hapto6"
"580",2009-11-10,2.84,"Hapto6"
"581",2009-12-08,3.32,"Hapto6"
"582",2010-01-07,10.83,"Hapto6"
"583",2010-02-11,3.91,"Hapto6"
"584",2010-03-09,15.85,"Hapto6"
"585",2010-04-07,5.35,"Hapto6"
"586",2010-05-11,7.99,"Hapto6"
"587",2010-06-08,4.06,"Hapto6"
"588",2010-08-04,3.7,"Hapto6"
"589",2010-09-15,11.109,"Hapto6"
"590",2010-10-05,5.32,"Hapto6"
"591",2010-11-09,4.04,"Hapto6"
"592",2010-12-08,8.44,"Hapto6"
"593",2011-01-11,20.08,"Hapto6"
"594",2011-02-08,6.97,"Hapto6"
"595",2011-03-15,10.77,"Hapto6"
"596",2011-04-12,6.8,"Hapto6"
"597",2011-05-10,16.92,"Hapto6"
"598",2011-06-09,11.88,"Hapto6"
"599",2011-07-07,17.3,"Hapto6"
"600",2011-08-09,15.25,"Hapto6"
"601",2011-09-06,16.23,"Hapto6"
"602",2011-10-04,11.91,"Hapto6"
"603",2011-11-18,13.63,"Hapto6"
"604",2012-01-10,10.28,"Hapto6"
"605",2012-02-07,9.96,"Hapto6"
"606",2012-03-16,13,"Hapto6"
"607",2012-04-10,17.65,"Hapto6"
"608",2012-05-15,14.27,"Hapto6"
"609",2012-07-26,8.38,"Hapto6"
"610",2012-08-14,14.21,"Hapto6"
"611",2012-09-11,17.04,"Hapto6"
"612",2012-10-10,20.3,"Hapto6"
"613",2012-11-08,11.28,"Hapto6"
"614",2012-12-04,13.15,"Hapto6"
