date,year,month,day,lon,lat,value
2009-04-30,2009.0,4.0,11.0,-64.68349838256837,10.6875,1.557171588391066
2009-05-31,,,,,,
2009-06-30,2009.0,6.0,23.0,-64.68349838256837,10.6875,0.43851534580742857
2009-07-31,2009.0,7.0,16.0,-64.68349838256837,10.6875,0.7853115595877169
2009-08-31,2009.0,8.0,15.0,-64.68349838256837,10.6875,0.4751430004835129
2009-09-30,,,,,,
2009-10-31,,,,,,
2009-11-30,2009.0,11.0,14.0,-64.68349838256837,10.6875,0.1948264792561531
2009-12-31,2009.0,12.0,17.0,-64.68349838256837,10.6875,1.13978226929903
2010-01-31,2010.0,1.0,15.0,-64.68349838256837,10.6875,1.532290355861187
2010-02-28,2010.0,2.0,15.0,-64.68349838256837,10.6875,3.4974782884120934
2010-03-31,2010.0,3.0,16.0,-64.68349838256837,10.6875,0.38070538528263564
2010-04-30,2010.0,4.0,16.0,-64.68349838256837,10.6875,0.14143261054287787
2010-05-31,2010.0,5.0,16.0,-64.68349838256837,10.6875,0.5630889885127542
2010-06-30,2010.0,6.0,14.0,-64.68349838256837,10.6875,0.23724586553871632
2010-07-31,2010.0,7.0,22.0,-64.68349838256837,10.6875,0.527486686643801
2010-08-31,2010.0,8.0,15.0,-64.68349838256837,10.6875,0.3091174192726613
2010-09-30,2010.0,9.0,17.0,-64.68349838256837,10.6875,0.2987397160381079
2010-10-31,2010.0,10.0,16.0,-64.68349838256837,10.6875,0.21489389613270768
2010-11-30,2010.0,11.0,15.0,-64.68349838256837,10.6875,0.21892361268401142
2010-12-31,2010.0,12.0,5.0,-64.68349838256837,10.6875,0.8511797823011877
