studyName,"Datetime GMT","Latitude (º)","Longitude (º)",Cycle,Event,Cast,"Depth (m)",Bottle,"Assoc Bottle 1","Assoc Bottle 2","Assoc Bottle 3","Total Chl (µg/L)","Chl - 1µm (µg/L)","Chl - 3µm (µg/L)","Chl - 8µm (µg/L)","Chl - 20µm (µg/L)","Chl < 1.0µm (%)","Chl 1.0µm - 3.0µm (%)","Chl 3.0µm - 8.0µm (%)","Chl 8.0µm - 20.0µm (%)","Chl > 20.0µm (%)"
P0810MV,"2008-10-10 09:20:01",32.798597,-123.659643,"Cycle 2",248,22,23.018,19,20,,,0.16,0.07,0.03,0.02,0.01,59.3,19.3,11.2,4.3,5.9
P0810MV,"2008-10-11 08:38:48",32.70986,-123.673417,"Cycle 2",262,24,21.124,22,23,,,0.14,0.05,0.03,0.01,0.01,65.1,15.7,10.9,4.1,4.3
P0810MV,"2008-10-11 19:28:11",32.685185,-123.683168,"Cycle 2",272,25,7.22,23,19,,,0.14,0.07,0.04,0.02,0.01,49.7,24.7,11.8,7.8,6.1
P0810MV,"2008-10-12 09:51:16",32.447647,-123.731912,"Cycle 2",290,27,5.043,22,23,,,0.22,0.12,0.08,0.06,0.04,44.7,20.7,9.2,8.7,16.8
P0810MV,"2008-10-12 19:10:07",32.403912,-123.756553,"Cycle 2",302,28,5.676,23,24,,,0.22,0.14,0.08,0.05,0.04,36.6,25.9,15.7,4.2,17.6
P0810MV,"2008-10-13 09:15:13",33.554103,-120.762712,"Cycle 2",215,30,5.26,22,23,,,0.22,0.13,0.08,0.05,0.04,42.0,20.8,13.0,7.9,16.4
P0810MV,"2008-10-13 19:25:51",32.258352,-123.872327,"Cycle 2",335,31,4.698,23,19,,,0.22,0.14,0.08,0.05,0.03,37.4,25.5,15.6,8.0,13.5
P0810MV,"2008-10-14 08:24:54",32.149358,-123.945285,"Cycle 2",353,33,70.106,12,13,,,0.21,0.08,0.03,0.01,0.01,61.8,21.9,10.7,3.1,2.4
P0810MV,"2008-10-14 08:24:54",32.149358,-123.945285,"Cycle 2",353,33,5.285,23,24,,,0.20,0.10,0.06,0.03,0.02,48.5,20.8,13.2,6.5,11.0
P0810MV,"2008-10-15 08:33:14",33.94984,-121.813015,"Cycle 3",369,34,7.69,19,20,,,0.70,0.44,0.27,0.17,0.13,36.7,24.9,14.8,5.4,18.1
