"","AphiaID","aphiaid","speciesorig","speciesclean","scientificname","wm_attrs","wm_classes"
"47",109693,109693,"Ornitocercus magnificum","Ornithocercus magnificus","Ornithocercus magnificus","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Ornithocercus_Ornithocercus magnificus"
"48",109694,109694,"Ornithocercus quadratus","Ornithocercus quadratus","Ornithocercus quadratus","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Ornithocercus_Ornithocercus quadratus"
"49",109696,109696,"Ornithocercus steinii","Ornithocercus steinii","Ornithocercus steinii","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Ornithocercus_Ornithocercus steinii"
"50",109714,109714,"Alexandrium tamarensis","Alexandrium tamarensis","Alexandrium tamarense","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:mixoplankton > Constitutive Mixoplankton (CM)","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ostreopsidaceae_Alexandrium_Alexandrium tamarense"
"51",109717,109717,"Actiniscus pentasterias","Actiniscus pentasterias","Actiniscus pentasterias","Body size:32, Body size:50, Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:plankton > zooplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Actiniscales_Actiniscaceae_Actiniscus_Actiniscus pentasterias"
"52",109735,109735,"Amphidinium klebsii","Amphidinium klebsii","Amphidinium klebsii","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Amphidiniales_Amphidiniaceae_Amphidinium_Amphidinium klebsii"
"53",109764,109764,"Cocconeis sp. ","Cocconeis sp. ","Cocconeis sp.","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Cochlodinium_Cochlodinium constrictum"
"54",109775,109775,"Cochlodinium strangulatum","Cochlodinium strangulatum","Cochlodinium strangulatum","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Cochlodinium_Cochlodinium strangulatum"
"55",109784,109784,"Gymnodinium catenatum","Gymnodinium catenatum","Gymnodinium catenatum","Functional group:mixoplankton > Constitutive Mixoplankton (CM)","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Gymnodinium_Gymnodinium catenatum"
"56",109787,109787,"Gymnodinium conicum","Gymnodinium conicum","Spatulodinium pseudonoctiluca","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Gymnodinium_Gymnodinium conicum"
"57",109797,109797,"Gymnodinium gibberum","Gymnodinium gibbera","Gymnodinium gibbera","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Gymnodinium_Gymnodinium gibbera"
"58",109800,109800,"Gymnodinium cf. gracile","Gymnodinium cf. gracile","Gymnodinium cf. gracile","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:plankton > zooplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Gymnodinium_Gymnodinium gracile"
"59",109813,109813,"Gymnodinium cf mikimotoi","Gymnodinium cf. mikimotoi","Karenia cf. mikimotoi","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Gymnodinium_Gymnodinium mikimotoi"
"60",109828,109828,"Gymnodinium rubrum","Gymnodinium rubrum","Gymnodinium rubrum","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Gymnodinium_Gymnodinium rubrum"
"61",109832,109832,"Gymnodinim splendens","Gymnodinium splendens","Akashiwo sanguinea","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Gymnodinium_Gymnodinium splendens"
"62",109835,109835,"Gymnodinium variabile","Gymnodinium variabile","Gymnodinium variabile","Body size:40, Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:plankton > nanoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Gymnodinium_Gymnodinium variabile"
"63",109841,109841,"Gyrodinium cf. acutum","Gyrodinium cf. acutum","Gyrodinium cf. acutum","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Gyrodinium_Gyrodinium acutum"
"64",109853,109853,"Gyrodinium fisum","Gyrodinium fissum","Levanderina fissa","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Gyrodinium_Gyrodinium fissum"
"65",109855,109855,"Gyrodinium foliaceum","Gyrodinium foliaceum","Gyrodinium foliaceum","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Gyrodinium_Gyrodinium foliaceum"
"66",109856,109856,"Gyrodinium fusiformis","Gyrodinium fusiforme","Gyrodinium fusiforme","Functional group:plankton > nanoplankton, Functional group:plankton > zooplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Gyrodinium_Gyrodinium fusiforme"
"67",109859,109859,"Gyrodinium lachrima","Gyrodinium lachryma","Gyrodinium lachryma","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:plankton > zooplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Gyrodinium_Gyrodinium lachryma"
"68",109871,109871,"Gyrodinium pepo","Gyrodinium pepo","Gyrodinium pepo","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Gyrodinium_Gyrodinium pepo"
"69",109872,109872,"Gyrodinium pingue","Gyrodinium pingue","Gyrodinium pingue","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:plankton > nanoplankton, Functional group:plankton > zooplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Gyrodinium_Gyrodinium pingue"
"70",109876,109876,"Gyrodinium spirale","Gyrodinium spirale","Gyrodinium spirale","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:plankton > nanoplankton, Functional group:plankton > zooplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Gyrodinium_Gyrodinium spirale"
"71",109879,109879,"Gyrodinium varians","Gyrodinium varians","Gyrodinium varians","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Gyrodinium_Gyrodinium varians"
"72",109901,109901,"Polykrikos schwarzii","Polykrikos schwartzii","Polykrikos schwartzii","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:plankton > nanoplankton, Functional group:plankton > zooplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Polykrikaceae_Polykrikos_Polykrikos schwartzii"
"73",109904,109904,"Pronoctiluca spinifera","Pronoctiluca spinifera","Pronoctiluca spinifera","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Noctilucales_Protodiniferaceae_Pronoctiluca_Pronoctiluca spinifera"
"74",109921,109921,"Noctiluca scintillians","Noctiluca scintillans","Noctiluca scintillans","Body size:2000, Body size (qualitative):<0.2 mm, Body size (qualitative):0.2 - 2.0 mm, Functional group:plankton > mesoplankton, Functional group:plankton > microplankton, Functional group:mixoplankton > endosymbiotic Specialist Non-Constitutive Mixoplankton (eSNCM), Functional group:plankton > zooplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Noctilucales_Noctilucaceae_Noctiluca_Noctiluca scintillans"
"75",109930,109930,"Ceratium azoricum","Ceratium azoricum","Tripos azoricus","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium azoricum"
"76",109931,109931,"Ceratium belone","Ceratium belone","Tripos belone","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium belone"
"77",109932,109932,"Ceratium breve","Ceratium breve","Tripos brevis","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium breve"
"78",109935,109935,"Ceratium candelabrum","Ceratium candelabrum","Tripos candelabrus","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium candelabrum"
"79",109936,109936,"Ceratium carriense","Ceratium carriense","Tripos carriense","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium carriense"
"80",109940,109940,"Ceratium concilians","Ceratium concilians","Tripos concilians","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium concilians"
"81",109941,109941,"Ceratium contortum","Ceratium contortum","Tripos contortus","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium contortum"
"82",109943,109943,"Ceratium declinatum","Ceratium declinatum","Tripos declinatus","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium declinatum"
